n_paths,plain_se,cv_se,se_reduction,plain_runtime,cv_runtime
5000,0.00033280724339813895,0.00010500640696636737,3.1693994015501756,0.00643610954284668,0.004647254943847656
10000,0.00023923166802542479,7.532528790987807e-05,3.175980798263265,0.004979372024536133,0.009731054306030273
20000,0.00017125475783285587,5.365716878036225e-05,3.191647299429124,0.025413036346435547,0.019304990768432617
50000,0.00010531382902109559,3.3598869055158335e-05,3.1344456519713444,0.09141707420349121,0.04964399337768555
100000,7.532558487712065e-05,2.3886910335723857e-05,3.153425194738063,0.18933391571044922,0.28556084632873535
